amfi_code,date,nav
100001,2021-01-01,98.7318
100001,2021-01-04,99.4778
100001,2021-01-05,101.5428
100001,2021-01-06,102.153
100001,2021-01-07,102.5162
100001,2021-01-08,104.188
100001,2021-01-11,103.8579
100001,2021-01-12,104.6296
100001,2021-01-13,103.4258
100001,2021-01-14,104.0232
100001,2021-01-15,104.3369
100001,2021-01-18,102.8257
100001,2021-01-19,105.4494
100001,2021-01-20,102.7206
100001,2021-01-21,105.284
100001,2021-01-22,106.1384
100001,2021-01-25,104.7957
100001,2021-01-26,105.7656
100001,2021-01-27,107.6666
100001,2021-01-28,110.4462
100001,2021-01-29,114.1506
100001,2021-02-01,115.1732
100001,2021-02-02,118.4258
100001,2021-02-03,116.5477
100001,2021-02-04,116.0373
100001,2021-02-05,117.574
100001,2021-02-08,115.1735
100001,2021-02-09,116.1111
100001,2021-02-10,119.9707
100001,2021-02-11,119.9593
100001,2021-02-12,118.4411
100001,2021-02-15,117.6742
100001,2021-02-16,116.6661
100001,2021-02-17,115.8023
100001,2021-02-18,117.0831
100001,2021-02-19,115.5844
100001,2021-02-22,116.4029
100001,2021-02-23,117.9271
100001,2021-02-24,118.7036
100001,2021-02-25,116.1126
100001,2021-02-26,117.5388
100001,2021-03-01,119.4674
100001,2021-03-02,120.9806
100001,2021-03-03,120.5675
100001,2021-03-04,121.6668
100001,2021-03-05,120.1689
100001,2021-03-08,121.4561
100001,2021-03-09,120.7044
100001,2021-03-10,117.3876
100001,2021-03-11,119.3632
100001,2021-03-12,119.3263
100001,2021-03-15,118.872
100001,2021-03-16,120.9669
100001,2021-03-17,119.6911
100001,2021-03-18,119.9812
100001,2021-03-19,118.8115
100001,2021-03-22,118.4238
100001,2021-03-23,119.7345
100001,2021-03-24,117.6488
100001,2021-03-25,115.9944
100001,2021-03-26,112.5135
100001,2021-03-29,111.0824
100001,2021-03-30,112.8861
100001,2021-03-31,113.2543
100001,2021-04-01,109.7751
100001,2021-04-02,110.1477
100001,2021-04-05,110.419
100001,2021-04-06,108.5153
100001,2021-04-07,108.3557
100001,2021-04-08,107.3073
100001,2021-04-09,107.1917
100001,2021-04-12,107.4436
100001,2021-04-13,107.6611
100001,2021-04-14,106.5005
100001,2021-04-15,104.9182
100001,2021-04-16,105.2475
100001,2021-04-19,105.6561
100001,2021-04-20,108.781
100001,2021-04-21,108.3648
100001,2021-04-22,111.1279
100001,2021-04-23,112.0021
100001,2021-04-26,114.2975
100001,2021-04-27,114.4876
100001,2021-04-28,114.3264
100001,2021-04-29,117.4832
100001,2021-04-30,117.5177
100001,2021-05-03,117.1571
100001,2021-05-04,117.3267
100001,2021-05-05,117.1571
100001,2021-05-06,114.052
100001,2021-05-07,115.482
100001,2021-05-10,116.9959
100001,2021-05-11,119.6647
100001,2021-05-12,120.5776
100001,2021-05-13,121.584
100001,2021-05-14,121.4238
100001,2021-05-17,121.709
100001,2021-05-18,123.8942
100001,2021-05-19,123.4248
100001,2021-05-20,124.5643
100001,2021-05-21,126.4631
100001,2021-05-24,130.2975
100001,2021-05-25,129.2258
100001,2021-05-26,129.857
100001,2021-05-27,126.6113
100001,2021-05-28,127.6077
100001,2021-05-31,128.5835
100001,2021-06-01,128.7895
100001,2021-06-02,129.7836
100001,2021-06-03,130.957
100001,2021-06-04,130.8256
100001,2021-06-07,132.1965
100001,2021-06-08,135.1534
100001,2021-06-09,131.4342
