fund_house,year,aum_crore
SBI Mutual Fund,2022,820000.0
SBI Mutual Fund,2023,918400.0
SBI Mutual Fund,2024,1056160.0
SBI Mutual Fund,2025,1250000.0
HDFC Mutual Fund,2022,450000.0
HDFC Mutual Fund,2023,495000.0
HDFC Mutual Fund,2024,554400.0
HDFC Mutual Fund,2025,632016.0
ICICI Prudential MF,2022,460000.0
ICICI Prudential MF,2023,510600.0
ICICI Prudential MF,2024,576978.0
ICICI Prudential MF,2025,663524.7
Nippon India Mutual Fund,2022,310651.34
Nippon India Mutual Fund,2023,339072.08
Nippon India Mutual Fund,2024,360767.25
Nippon India Mutual Fund,2025,389589.04
Axis Mutual Fund,2022,264632.75
Axis Mutual Fund,2023,291701.77
Axis Mutual Fund,2024,316534.71
Axis Mutual Fund,2025,346408.63
Kotak Mutual Fund,2022,251539.46
Kotak Mutual Fund,2023,277588.61
Kotak Mutual Fund,2024,295022.83
Kotak Mutual Fund,2025,330222.08
DSP Mutual Fund,2022,315468.67
DSP Mutual Fund,2023,337214.45
DSP Mutual Fund,2024,371964.21
DSP Mutual Fund,2025,411836.33
Aditya Birla Sun Life MF,2022,341947.28
Aditya Birla Sun Life MF,2023,368018.68
Aditya Birla Sun Life MF,2024,411267.6
Aditya Birla Sun Life MF,2025,436381.36
UTI Mutual Fund,2022,268371.1
UTI Mutual Fund,2023,286151.52
UTI Mutual Fund,2024,309928.29
UTI Mutual Fund,2025,329588.13
Tata Mutual Fund,2022,316096.35
Tata Mutual Fund,2023,336246.76
Tata Mutual Fund,2024,368846.15
Tata Mutual Fund,2025,396157.39
