investor_id,age_group,gender,state,city_tier,sip_amount
100000,26-35,Female,Haryana,B30,4700.0
100001,60+,Female,Karnataka,T30,2300.0
100002,26-35,Male,Karnataka,T30,3200.0
100003,26-35,Male,Maharashtra,B30,1700.0
100004,26-35,Female,Gujarat,T30,7200.0
100005,18-25,Male,Karnataka,B30,3400.0
100006,26-35,Female,Uttar Pradesh,B30,7900.0
100007,26-35,Male,Maharashtra,T30,6000.0
100008,36-45,Male,Tamil Nadu,T30,11400.0
100009,26-35,Male,West Bengal,T30,3300.0
100010,26-35,Male,Tamil Nadu,T30,1700.0
100011,36-45,Male,Maharashtra,B30,13100.0
100012,26-35,Female,Tamil Nadu,T30,5800.0
100013,36-45,Female,Maharashtra,T30,4500.0
100014,26-35,Female,Uttar Pradesh,B30,5000.0
100015,36-45,Male,Uttar Pradesh,T30,3200.0
100016,26-35,Female,Maharashtra,T30,16200.0
100017,26-35,Female,Delhi,T30,2900.0
100018,26-35,Female,Maharashtra,T30,5600.0
100019,18-25,Male,Karnataka,T30,1900.0
100020,46-60,Female,Delhi,T30,4900.0
100021,18-25,Male,Karnataka,B30,1900.0
100022,26-35,Male,Uttar Pradesh,T30,8900.0
100023,36-45,Male,Gujarat,T30,2100.0
100024,26-35,Male,Delhi,B30,3800.0
100025,36-45,Male,Gujarat,T30,11800.0
100026,26-35,Male,Karnataka,B30,11600.0
100027,18-25,Female,Uttar Pradesh,B30,1500.0
100028,18-25,Male,Delhi,B30,2200.0
100029,18-25,Female,Karnataka,T30,2300.0
100030,36-45,Male,West Bengal,T30,4000.0
100031,26-35,Male,West Bengal,T30,4000.0
100032,18-25,Female,Maharashtra,T30,1600.0
100033,36-45,Male,Gujarat,B30,13200.0
100034,26-35,Male,Tamil Nadu,T30,3700.0
100035,26-35,Male,Maharashtra,T30,9100.0
100036,36-45,Male,Uttar Pradesh,B30,11400.0
100037,36-45,Female,Maharashtra,T30,4000.0
100038,60+,Male,Gujarat,B30,1100.0
100039,26-35,Male,Uttar Pradesh,T30,2900.0
100040,36-45,Female,Uttar Pradesh,B30,4100.0
100041,36-45,Female,Uttar Pradesh,T30,13900.0
100042,26-35,Male,Haryana,T30,5500.0
100043,46-60,Male,Uttar Pradesh,T30,9900.0
100044,26-35,Female,Karnataka,T30,6200.0
100045,46-60,Female,West Bengal,T30,5100.0
100046,18-25,Male,Maharashtra,T30,2600.0
100047,26-35,Male,West Bengal,B30,4100.0
100048,26-35,Male,Delhi,T30,11600.0
100049,18-25,Female,Uttar Pradesh,B30,1400.0
100050,26-35,Female,Maharashtra,T30,12200.0
100051,36-45,Male,West Bengal,B30,13400.0
100052,26-35,Female,Maharashtra,B30,6400.0
100053,46-60,Male,Karnataka,B30,17000.0
100054,18-25,Female,Uttar Pradesh,B30,2100.0
100055,18-25,Male,Uttar Pradesh,T30,1700.0
100056,26-35,Female,Delhi,T30,8700.0
100057,26-35,Female,Karnataka,B30,1500.0
100058,46-60,Female,Maharashtra,T30,4300.0
100059,26-35,Female,Uttar Pradesh,T30,2500.0
100060,26-35,Male,Gujarat,T30,7900.0
100061,26-35,Female,Delhi,T30,1800.0
100062,36-45,Male,Delhi,T30,8000.0
100063,18-25,Female,Uttar Pradesh,B30,1500.0
100064,26-35,Male,Haryana,B30,2400.0
100065,26-35,Male,Maharashtra,T30,8000.0
100066,36-45,Female,Delhi,T30,18400.0
100067,18-25,Female,Haryana,B30,5000.0
100068,60+,Male,West Bengal,T30,5500.0
100069,18-25,Female,Maharashtra,B30,2100.0
100070,26-35,Male,Uttar Pradesh,T30,3900.0
100071,46-60,Female,Delhi,T30,16600.0
100072,46-60,Male,West Bengal,T30,27200.0
100073,46-60,Male,Gujarat,T30,4800.0
100074,36-45,Female,Gujarat,T30,8700.0
100075,36-45,Male,Maharashtra,T30,5300.0
100076,26-35,Female,Gujarat,B30,5500.0
100077,26-35,Female,Karnataka,T30,1900.0
100078,18-25,Male,West Bengal,B30,5500.0
100079,46-60,Female,Karnataka,T30,4900.0
100080,26-35,Female,West Bengal,B30,3400.0
100081,36-45,Male,Maharashtra,B30,8400.0
100082,18-25,Female,Delhi,B30,5000.0
100083,26-35,Male,Uttar Pradesh,T30,4800.0
100084,26-35,Female,Karnataka,T30,3700.0
100085,26-35,Male,Uttar Pradesh,T30,3700.0
100086,18-25,Female,Maharashtra,B30,1300.0
100087,46-60,Female,Karnataka,B30,3800.0
100088,26-35,Female,Tamil Nadu,B30,700.0
100089,36-45,Female,Tamil Nadu,B30,11000.0
100090,46-60,Female,Maharashtra,T30,11100.0
100091,26-35,Female,Maharashtra,T30,3100.0
100092,36-45,Male,Uttar Pradesh,T30,11100.0
100093,18-25,Female,Uttar Pradesh,T30,2000.0
100094,36-45,Male,Uttar Pradesh,T30,4200.0
100095,46-60,Male,Haryana,B30,5800.0
100096,36-45,Female,Tamil Nadu,T30,3800.0
100097,46-60,Male,Maharashtra,B30,15000.0
100098,46-60,Male,Delhi,B30,14400.0
100099,26-35,Male,Delhi,B30,5200.0
100100,26-35,Female,Uttar Pradesh,B30,3300.0
100101,26-35,Male,Maharashtra,B30,2400.0
100102,46-60,Female,Maharashtra,B30,12400.0
100103,26-35,Male,Uttar Pradesh,T30,3100.0
100104,36-45,Female,Tamil Nadu,T30,5800.0
100105,26-35,Female,Karnataka,T30,5400.0
100106,36-45,Male,Delhi,T30,9400.0
100107,36-45,Female,Delhi,T30,5400.0
100108,26-35,Male,West Bengal,T30,8400.0
100109,26-35,Female,Uttar Pradesh,T30,1100.0
100110,26-35,Male,Uttar Pradesh,T30,3100.0
100111,26-35,Female,Delhi,B30,12700.0
100112,26-35,Male,West Bengal,B30,4200.0
100113,26-35,Female,Haryana,T30,9500.0
100114,26-35,Male,Delhi,B30,2900.0
100115,36-45,Female,Maharashtra,T30,8200.0
100116,36-45,Female,Tamil Nadu,T30,3300.0
100117,18-25,Female,Delhi,T30,1400.0
100118,26-35,Female,Karnataka,T30,2700.0
100119,26-35,Female,West Bengal,B30,6600.0
