month,total_sip_inflow,Equity,Debt,Hybrid,Solution Oriented,Others
2022-01,11300.0,6215.0,1704.46,2271.97,565.0,565.0
2022-02,11643.77,6404.07,1741.76,2424.05,582.19,582.19
2022-03,11980.21,6589.12,1843.66,2360.93,599.01,599.01
2022-04,12712.41,6991.83,1803.02,2576.45,635.62,635.62
2022-05,13255.87,7290.73,1982.05,2633.38,662.79,662.79
2022-06,13479.39,7413.66,2014.45,2605.83,673.97,673.97
2022-07,13851.08,7618.1,2084.5,2757.75,692.55,692.55
2022-08,14176.02,7796.81,2104.08,2838.53,708.8,708.8
2022-09,14453.82,7949.6,2246.06,2873.88,722.69,722.69
2022-10,15159.23,8337.58,2336.47,3039.96,757.96,757.96
2022-11,15257.3,8391.51,2355.57,3048.44,762.86,762.86
2022-12,15980.61,8789.34,2353.48,3302.6,799.03,799.03
2023-01,16070.8,8838.94,2461.48,3285.77,803.54,803.54
2023-02,16779.92,9228.95,2547.12,3359.2,839.0,839.0
2023-03,17361.68,9548.93,2653.79,3501.75,868.08,868.08
2023-04,17642.56,9703.41,2619.9,3552.05,882.13,882.13
2023-05,18173.14,9995.23,2708.85,3570.54,908.66,908.66
2023-06,18647.07,10255.89,2794.04,3699.23,932.35,932.35
2023-07,18851.38,10368.26,2932.83,3717.56,942.57,942.57
2023-08,19542.75,10748.51,2909.65,3880.07,977.14,977.14
2023-09,19641.56,10802.86,2985.37,3940.96,982.08,982.08
2023-10,19956.02,10975.81,3088.8,4066.64,997.8,997.8
2023-11,20373.91,11205.65,3061.37,4020.61,1018.7,1018.7
2023-12,21084.41,11596.43,3181.42,4228.58,1054.22,1054.22
2024-01,21323.96,11728.18,3123.98,4254.72,1066.2,1066.2
2024-02,21714.6,11943.03,3267.19,4345.1,1085.73,1085.73
2024-03,22310.02,12270.51,3297.61,4461.4,1115.5,1115.5
2024-04,22384.15,12311.28,3351.77,4501.25,1119.21,1119.21
2024-05,23431.1,12887.1,3469.16,4744.81,1171.55,1171.55
2024-06,23281.31,12804.72,3517.03,4590.13,1164.07,1164.07
2024-07,23968.04,13182.42,3608.7,4795.72,1198.4,1198.4
2024-08,24376.36,13407.0,3652.21,4801.81,1218.82,1218.82
2024-09,24692.51,13580.88,3687.99,4906.76,1234.63,1234.63
2024-10,25299.8,13914.89,3772.52,5105.33,1264.99,1264.99
2024-11,25676.01,14121.8,3817.78,5244.82,1283.8,1283.8
2024-12,25955.25,14275.39,4017.15,5209.04,1297.76,1297.76
2025-01,26484.84,14566.66,3908.51,5232.73,1324.24,1324.24
2025-02,26479.69,14563.83,3995.67,5284.37,1323.98,1323.98
2025-03,27168.98,14942.94,4039.04,5434.43,1358.45,1358.45
2025-04,27731.36,15252.25,4094.76,5665.43,1386.57,1386.57
2025-05,27968.51,15382.68,4224.04,5675.57,1398.43,1398.43
2025-06,28474.49,15660.97,4319.31,5732.98,1423.72,1423.72
2025-07,28878.21,15883.01,4287.26,5644.04,1443.91,1443.91
2025-08,29068.89,15987.89,4412.44,5814.72,1453.44,1453.44
2025-09,29881.02,16434.56,4592.51,5954.75,1494.05,1494.05
2025-10,30182.99,16600.64,4528.6,6019.84,1509.15,1509.15
2025-11,30406.12,16723.37,4627.66,5960.37,1520.31,1520.31
2025-12,31002.0,17051.1,4670.14,6167.79,1550.1,1550.1
